activity_a,activity_b,capacity_a,capacity_b,count,weighted
Rubiks Cube Club,SGA,<bound method EighthActivity.capacity of <EighthActivity: Rubiks Cube Club>>,<bound method EighthActivity.capacity of <EighthActivity: SGA>>,8,0.150943396226415
Astronomy Club,Debate: Public Forum,<bound method EighthActivity.capacity of <EighthActivity: Astronomy Club>>,<bound method EighthActivity.capacity of <EighthActivity: Debate: Public Forum>>,8,0.1
Neuroscience Society,Product Design Club,<bound method EighthActivity.capacity of <EighthActivity: Neuroscience Society>>,<bound method EighthActivity.capacity of <EighthActivity: Product Design Club>>,8,0.102564102564103
Model UN,Latin,<bound method EighthActivity.capacity of <EighthActivity: Model UN>>,<bound method EighthActivity.capacity of <EighthActivity: Latin>>,8,0.133333333333333
Lab 201 Cobb,American Sign Language Club,<bound method EighthActivity.capacity of <EighthActivity: Lab 201 Cobb>>,<bound method EighthActivity.capacity of <EighthActivity: American Sign Language Club>>,8,0.123076923076923
Ocean Bowl,TJ Media (R),<bound method EighthActivity.capacity of <EighthActivity: Ocean Bowl>>,<bound method EighthActivity.capacity of <EighthActivity: TJ Media (R)>>,8,0.137931034482759
PC (re)Builders,Neuroscience Society,<bound method EighthActivity.capacity of <EighthActivity: PC (re)Builders>>,<bound method EighthActivity.capacity of <EighthActivity: Neuroscience Society>>,8,0.1
Lab 200 - Computer Systems,Scientific Reading Society,<bound method EighthActivity.capacity of <EighthActivity: Lab 200 - Computer Systems>>,<bound method EighthActivity.capacity of <EighthActivity: Scientific Reading Society>>,8,0.228571428571429
Lab 200 - Computer Systems,Astronomy Club,<bound method EighthActivity.capacity of <EighthActivity: Lab 200 - Computer Systems>>,<bound method EighthActivity.capacity of <EighthActivity: Astronomy Club>>,8,0.133333333333333
Research Statistics 1 (Carey),Neuroscience Society,<bound method EighthActivity.capacity of <EighthActivity: Research Statistics 1 (Carey)>>,<bound method EighthActivity.capacity of <EighthActivity: Neuroscience Society>>,8,0.1
Lab 200 - Computer Systems,TSA - Technology Student Assn (R),<bound method EighthActivity.capacity of <EighthActivity: Lab 200 - Computer Systems>>,<bound method EighthActivity.capacity of <EighthActivity: TSA - Technology Student Assn (R)>>,8,0.145454545454545
Lab 200 - Computer Systems,Magician's Alliance,<bound method EighthActivity.capacity of <EighthActivity: Lab 200 - Computer Systems>>,<bound method EighthActivity.capacity of <EighthActivity: Magician's Alliance>>,8,0.177777777777778
Model UN,Writing Conference (Kochman),<bound method EighthActivity.capacity of <EighthActivity: Model UN>>,<bound method EighthActivity.capacity of <EighthActivity: Writing Conference (Kochman)>>,8,0.0909090909090909
Lab 200 - Computer Systems,Latin: Certamen,<bound method EighthActivity.capacity of <EighthActivity: Lab 200 - Computer Systems>>,<bound method EighthActivity.capacity of <EighthActivity: Latin: Certamen>>,8,0.166666666666667
Young Democrats,Neuroscience Society,<bound method EighthActivity.capacity of <EighthActivity: Young Democrats>>,<bound method EighthActivity.capacity of <EighthActivity: Neuroscience Society>>,8,0.1
Open Music Practice-Strings Only,Astronomy Club,<bound method EighthActivity.capacity of <EighthActivity: Open Music Practice-Strings Only>>,<bound method EighthActivity.capacity of <EighthActivity: Astronomy Club>>,8,0.133333333333333
TJ Minds Matter,Astronomy Club,<bound method EighthActivity.capacity of <EighthActivity: TJ Minds Matter>>,<bound method EighthActivity.capacity of <EighthActivity: Astronomy Club>>,8,0.1
Astronomy Club,Game Theory Society,<bound method EighthActivity.capacity of <EighthActivity: Astronomy Club>>,<bound method EighthActivity.capacity of <EighthActivity: Game Theory Society>>,8,0.117647058823529
Science and Law,Neuroscience Society,<bound method EighthActivity.capacity of <EighthActivity: Science and Law>>,<bound method EighthActivity.capacity of <EighthActivity: Neuroscience Society>>,8,0.102564102564103
Neuroscience Society,Scientific Reading Society,<bound method EighthActivity.capacity of <EighthActivity: Neuroscience Society>>,<bound method EighthActivity.capacity of <EighthActivity: Scientific Reading Society>>,8,0.123076923076923
Drama,Astronomy Club,<bound method EighthActivity.capacity of <EighthActivity: Drama>>,<bound method EighthActivity.capacity of <EighthActivity: Astronomy Club>>,8,0.08
Send-a-Smile,Neuroscience Society,<bound method EighthActivity.capacity of <EighthActivity: Send-a-Smile>>,<bound method EighthActivity.capacity of <EighthActivity: Neuroscience Society>>,8,0.102564102564103
Cancer Research Society,Astronomy Club,<bound method EighthActivity.capacity of <EighthActivity: Cancer Research Society>>,<bound method EighthActivity.capacity of <EighthActivity: Astronomy Club>>,8,0.114285714285714
Astronomy Club,Physics Lab work only (Forbes),<bound method EighthActivity.capacity of <EighthActivity: Astronomy Club>>,<bound method EighthActivity.capacity of <EighthActivity: Physics Lab work only (Forbes)>>,8,0.117647058823529
Teenage Republicans,Neuroscience Society,<bound method EighthActivity.capacity of <EighthActivity: Teenage Republicans>>,<bound method EighthActivity.capacity of <EighthActivity: Neuroscience Society>>,8,0.102564102564103
Astronomy Club,Math 3/4 (Hill),<bound method EighthActivity.capacity of <EighthActivity: Astronomy Club>>,<bound method EighthActivity.capacity of <EighthActivity: Math 3/4 (Hill)>>,8,0.117647058823529
German Honor Society,Astronomy Club,<bound method EighthActivity.capacity of <EighthActivity: German Honor Society>>,<bound method EighthActivity.capacity of <EighthActivity: Astronomy Club>>,8,0.117647058823529
Rubiks Cube Club,Teknos,<bound method EighthActivity.capacity of <EighthActivity: Rubiks Cube Club>>,<bound method EighthActivity.capacity of <EighthActivity: Teknos>>,8,0.166666666666667
Latin: Certamen  (Lister),Astronomy Club,<bound method EighthActivity.capacity of <EighthActivity: Latin: Certamen  (Lister)>>,<bound method EighthActivity.capacity of <EighthActivity: Astronomy Club>>,8,0.111111111111111
Solutions for the 21st Century,Model UN,<bound method EighthActivity.capacity of <EighthActivity: Solutions for the 21st Century>>,<bound method EighthActivity.capacity of <EighthActivity: Model UN>>,8,0.0909090909090909
Latin Convention Meeting,Astronomy Club,<bound method EighthActivity.capacity of <EighthActivity: Latin Convention Meeting>>,<bound method EighthActivity.capacity of <EighthActivity: Astronomy Club>>,8,0.0833333333333333
Astronomy Club,Library Computer Classroom,<bound method EighthActivity.capacity of <EighthActivity: Astronomy Club>>,<bound method EighthActivity.capacity of <EighthActivity: Library Computer Classroom>>,8,0.129032258064516
Rubiks Cube Club,Writing Center,<bound method EighthActivity.capacity of <EighthActivity: Rubiks Cube Club>>,<bound method EighthActivity.capacity of <EighthActivity: Writing Center>>,8,0.2
Writing Conference (Kochman),Neuroscience Society,<bound method EighthActivity.capacity of <EighthActivity: Writing Conference (Kochman)>>,<bound method EighthActivity.capacity of <EighthActivity: Neuroscience Society>>,8,0.102564102564103
Rubiks Cube Club,TJ Media (R),<bound method EighthActivity.capacity of <EighthActivity: Rubiks Cube Club>>,<bound method EighthActivity.capacity of <EighthActivity: TJ Media (R)>>,8,0.137931034482759
UAV Club (Unmanned Aerial Vehicle),Astronomy Club,<bound method EighthActivity.capacity of <EighthActivity: UAV Club (Unmanned Aerial Vehicle)>>,<bound method EighthActivity.capacity of <EighthActivity: Astronomy Club>>,8,0.117647058823529
SGA,Neuroscience Society,<bound method EighthActivity.capacity of <EighthActivity: SGA>>,<bound method EighthActivity.capacity of <EighthActivity: Neuroscience Society>>,8,0.106666666666667
Math Help (Schmitt),Astronomy Club,<bound method EighthActivity.capacity of <EighthActivity: Math Help (Schmitt)>>,<bound method EighthActivity.capacity of <EighthActivity: Astronomy Club>>,8,0.114285714285714
Lab 200 - Computer Systems,Spanish Tertulia Gendive,<bound method EighthActivity.capacity of <EighthActivity: Lab 200 - Computer Systems>>,<bound method EighthActivity.capacity of <EighthActivity: Spanish Tertulia Gendive>>,8,0.166666666666667
Physics Lab Work Only (Scholla),Neuroscience Society,<bound method EighthActivity.capacity of <EighthActivity: Physics Lab Work Only (Scholla)>>,<bound method EighthActivity.capacity of <EighthActivity: Neuroscience Society>>,8,0.102564102564103
Humanitarian Aid to No. Korea,Astronomy Club,<bound method EighthActivity.capacity of <EighthActivity: Humanitarian Aid to No. Korea>>,<bound method EighthActivity.capacity of <EighthActivity: Astronomy Club>>,8,0.117647058823529
GSA,Astronomy Club,<bound method EighthActivity.capacity of <EighthActivity: GSA>>,<bound method EighthActivity.capacity of <EighthActivity: Astronomy Club>>,8,0.114285714285714
Japan Bowl,Astronomy Club,<bound method EighthActivity.capacity of <EighthActivity: Japan Bowl>>,<bound method EighthActivity.capacity of <EighthActivity: Astronomy Club>>,8,0.117647058823529
Urban Dance Movement,Neuroscience Society,<bound method EighthActivity.capacity of <EighthActivity: Urban Dance Movement>>,<bound method EighthActivity.capacity of <EighthActivity: Neuroscience Society>>,8,0.0941176470588235
Lab 200 - Computer Systems,Writing Conference (Kochman),<bound method EighthActivity.capacity of <EighthActivity: Lab 200 - Computer Systems>>,<bound method EighthActivity.capacity of <EighthActivity: Writing Conference (Kochman)>>,8,0.166666666666667
Lab 9: Energy Systems Open Lab,Astronomy Club,<bound method EighthActivity.capacity of <EighthActivity: Lab 9: Energy Systems Open Lab>>,<bound method EighthActivity.capacity of <EighthActivity: Astronomy Club>>,8,0.1
Sports Statistics,Science and Law,<bound method EighthActivity.capacity of <EighthActivity: Sports Statistics>>,<bound method EighthActivity.capacity of <EighthActivity: Science and Law>>,8,0.142857142857143
Assistive Technology Club,Lab 211 - Open Computer Lab,<bound method EighthActivity.capacity of <EighthActivity: Assistive Technology Club>>,<bound method EighthActivity.capacity of <EighthActivity: Lab 211 - Open Computer Lab>>,8,0.173913043478261
Assistive Technology Club,Product Design Club,<bound method EighthActivity.capacity of <EighthActivity: Assistive Technology Club>>,<bound method EighthActivity.capacity of <EighthActivity: Product Design Club>>,8,0.173913043478261
Lab 200 - Computer Systems,Sports Statistics,<bound method EighthActivity.capacity of <EighthActivity: Lab 200 - Computer Systems>>,<bound method EighthActivity.capacity of <EighthActivity: Sports Statistics>>,8,0.166666666666667
Aerospace Initiative (formerly Rocketry Club),GSA,<bound method EighthActivity.capacity of <EighthActivity: Aerospace Initiative (formerly Rocketry Club)>>,<bound method EighthActivity.capacity of <EighthActivity: GSA>>,8,0.123076923076923
Rotary Interact,Science and Law,<bound method EighthActivity.capacity of <EighthActivity: Rotary Interact>>,<bound method EighthActivity.capacity of <EighthActivity: Science and Law>>,8,0.148148148148148
Assistive Technology Club,Band,<bound method EighthActivity.capacity of <EighthActivity: Assistive Technology Club>>,<bound method EighthActivity.capacity of <EighthActivity: Band>>,8,0.0860215053763441
Assistive Technology Club,Botball Robotics (R),<bound method EighthActivity.capacity of <EighthActivity: Assistive Technology Club>>,<bound method EighthActivity.capacity of <EighthActivity: Botball Robotics (R)>>,8,0.173913043478261
Model UN,VSA (Vietnamese Student Assn.),<bound method EighthActivity.capacity of <EighthActivity: Model UN>>,<bound method EighthActivity.capacity of <EighthActivity: VSA (Vietnamese Student Assn.)>>,8,0.0888888888888889
German Culture Club,Assistive Technology Club,<bound method EighthActivity.capacity of <EighthActivity: German Culture Club>>,<bound method EighthActivity.capacity of <EighthActivity: Assistive Technology Club>>,8,0.166666666666667
Rubiks Cube Club,Swim/Dive,<bound method EighthActivity.capacity of <EighthActivity: Rubiks Cube Club>>,<bound method EighthActivity.capacity of <EighthActivity: Swim/Dive>>,8,0.285714285714286
Lab 8: Prototyping Lab,Assistive Technology Club,<bound method EighthActivity.capacity of <EighthActivity: Lab 8: Prototyping Lab>>,<bound method EighthActivity.capacity of <EighthActivity: Assistive Technology Club>>,8,0.186046511627907
Lab 200 - Computer Systems,Science and Law,<bound method EighthActivity.capacity of <EighthActivity: Lab 200 - Computer Systems>>,<bound method EighthActivity.capacity of <EighthActivity: Science and Law>>,8,0.166666666666667
Spanish Honor Society,Science and Law,<bound method EighthActivity.capacity of <EighthActivity: Spanish Honor Society>>,<bound method EighthActivity.capacity of <EighthActivity: Science and Law>>,8,0.142857142857143
Mobile Apps Club,Lab 201 Cobb,<bound method EighthActivity.capacity of <EighthActivity: Mobile Apps Club>>,<bound method EighthActivity.capacity of <EighthActivity: Lab 201 Cobb>>,8,0.156862745098039
Lab 201 Cobb,Relay For Life,<bound method EighthActivity.capacity of <EighthActivity: Lab 201 Cobb>>,<bound method EighthActivity.capacity of <EighthActivity: Relay For Life>>,8,0.16
tjSTAR,Lab 203: Burnett,<bound method EighthActivity.capacity of <EighthActivity: tjSTAR>>,<bound method EighthActivity.capacity of <EighthActivity: Lab 203: Burnett>>,8,0.2
Lab 211 - Open Computer Lab,Lab 201 Cobb,<bound method EighthActivity.capacity of <EighthActivity: Lab 211 - Open Computer Lab>>,<bound method EighthActivity.capacity of <EighthActivity: Lab 201 Cobb>>,8,0.186046511627907
Young Democrats,Lab 201 Cobb,<bound method EighthActivity.capacity of <EighthActivity: Young Democrats>>,<bound method EighthActivity.capacity of <EighthActivity: Lab 201 Cobb>>,8,0.177777777777778
Assistive Technology Club,Bridge Club,<bound method EighthActivity.capacity of <EighthActivity: Assistive Technology Club>>,<bound method EighthActivity.capacity of <EighthActivity: Bridge Club>>,8,0.16
Lab 203: Burnett,Relay For Life,<bound method EighthActivity.capacity of <EighthActivity: Lab 203: Burnett>>,<bound method EighthActivity.capacity of <EighthActivity: Relay For Life>>,8,0.145454545454545
Assistive Technology Club,Environmental Impact Club,<bound method EighthActivity.capacity of <EighthActivity: Assistive Technology Club>>,<bound method EighthActivity.capacity of <EighthActivity: Environmental Impact Club>>,8,0.137931034482759
Lab 203: Burnett,Latin Convention Meeting,<bound method EighthActivity.capacity of <EighthActivity: Lab 203: Burnett>>,<bound method EighthActivity.capacity of <EighthActivity: Latin Convention Meeting>>,8,0.105263157894737
Lab 203: Burnett,Math 5 tutoring,<bound method EighthActivity.capacity of <EighthActivity: Lab 203: Burnett>>,<bound method EighthActivity.capacity of <EighthActivity: Math 5 tutoring>>,8,0.166666666666667
Lab 200 - Computer Systems,Namaste,<bound method EighthActivity.capacity of <EighthActivity: Lab 200 - Computer Systems>>,<bound method EighthActivity.capacity of <EighthActivity: Namaste>>,8,0.0888888888888889
Physics tutoring / makeup Smith,Lab 201 Cobb,<bound method EighthActivity.capacity of <EighthActivity: Physics tutoring / makeup Smith>>,<bound method EighthActivity.capacity of <EighthActivity: Lab 201 Cobb>>,8,0.186046511627907
Assistive Technology Club,French Honor Society,<bound method EighthActivity.capacity of <EighthActivity: Assistive Technology Club>>,<bound method EighthActivity.capacity of <EighthActivity: French Honor Society>>,8,0.108108108108108
Lab 207: Robotics (DelaCuesta),Lab 201 Cobb,<bound method EighthActivity.capacity of <EighthActivity: Lab 207: Robotics (DelaCuesta)>>,<bound method EighthActivity.capacity of <EighthActivity: Lab 201 Cobb>>,8,0.186046511627907
Rotary Interact,Threshold,<bound method EighthActivity.capacity of <EighthActivity: Rotary Interact>>,<bound method EighthActivity.capacity of <EighthActivity: Threshold>>,8,0.148148148148148
Lab 201 Cobb,RAD (Recording Audio for the Disabled),<bound method EighthActivity.capacity of <EighthActivity: Lab 201 Cobb>>,<bound method EighthActivity.capacity of <EighthActivity: RAD (Recording Audio for the Disabled)>>,8,0.186046511627907
Lab 203: Burnett,Math 4 tutoring,<bound method EighthActivity.capacity of <EighthActivity: Lab 203: Burnett>>,<bound method EighthActivity.capacity of <EighthActivity: Math 4 tutoring>>,8,0.166666666666667
Lab 203: Burnett,Latin Exam,<bound method EighthActivity.capacity of <EighthActivity: Lab 203: Burnett>>,<bound method EighthActivity.capacity of <EighthActivity: Latin Exam>>,8,0.4
Lab 201 Cobb,Threshold,<bound method EighthActivity.capacity of <EighthActivity: Lab 201 Cobb>>,<bound method EighthActivity.capacity of <EighthActivity: Threshold>>,8,0.186046511627907
Rotary Interact,Scrabble,<bound method EighthActivity.capacity of <EighthActivity: Rotary Interact>>,<bound method EighthActivity.capacity of <EighthActivity: Scrabble>>,8,0.148148148148148
Lab 201 Cobb,Science and Law,<bound method EighthActivity.capacity of <EighthActivity: Lab 201 Cobb>>,<bound method EighthActivity.capacity of <EighthActivity: Science and Law>>,8,0.186046511627907
Assistive Technology Club,Urban Dance Movement,<bound method EighthActivity.capacity of <EighthActivity: Assistive Technology Club>>,<bound method EighthActivity.capacity of <EighthActivity: Urban Dance Movement>>,8,0.150943396226415
Lab 201 Cobb,Orchestra,<bound method EighthActivity.capacity of <EighthActivity: Lab 201 Cobb>>,<bound method EighthActivity.capacity of <EighthActivity: Orchestra>>,8,0.106666666666667
Lab 201 Cobb,Writing Conference (Kochman),<bound method EighthActivity.capacity of <EighthActivity: Lab 201 Cobb>>,<bound method EighthActivity.capacity of <EighthActivity: Writing Conference (Kochman)>>,8,0.186046511627907
Rotary Interact,Science Fiction & Fantasy Writers,<bound method EighthActivity.capacity of <EighthActivity: Rotary Interact>>,<bound method EighthActivity.capacity of <EighthActivity: Science Fiction & Fantasy Writers>>,8,0.148148148148148
Lab 200 - Computer Systems,World History SOL Review (Yi),<bound method EighthActivity.capacity of <EighthActivity: Lab 200 - Computer Systems>>,<bound method EighthActivity.capacity of <EighthActivity: World History SOL Review (Yi)>>,8,0.166666666666667
Lab 200 - Computer Systems,TJ Minds Matter,<bound method EighthActivity.capacity of <EighthActivity: Lab 200 - Computer Systems>>,<bound method EighthActivity.capacity of <EighthActivity: TJ Minds Matter>>,8,0.133333333333333
Lab 200 - Computer Systems,Scrabble,<bound method EighthActivity.capacity of <EighthActivity: Lab 200 - Computer Systems>>,<bound method EighthActivity.capacity of <EighthActivity: Scrabble>>,8,0.166666666666667
Lab 201 Cobb,Vegetarian Society,<bound method EighthActivity.capacity of <EighthActivity: Lab 201 Cobb>>,<bound method EighthActivity.capacity of <EighthActivity: Vegetarian Society>>,8,0.186046511627907
Startup TJ,Science Fiction & Fantasy Writers,<bound method EighthActivity.capacity of <EighthActivity: Startup TJ>>,<bound method EighthActivity.capacity of <EighthActivity: Science Fiction & Fantasy Writers>>,8,0.142857142857143
Lab 200 - Computer Systems,UAV Club (Unmanned Aerial Vehicle),<bound method EighthActivity.capacity of <EighthActivity: Lab 200 - Computer Systems>>,<bound method EighthActivity.capacity of <EighthActivity: UAV Club (Unmanned Aerial Vehicle)>>,8,0.166666666666667
Lab 203: Burnett,TJ Minds Matter,<bound method EighthActivity.capacity of <EighthActivity: Lab 203: Burnett>>,<bound method EighthActivity.capacity of <EighthActivity: TJ Minds Matter>>,8,0.133333333333333
Amateur Radio Club,Computer Security,<bound method EighthActivity.capacity of <EighthActivity: Amateur Radio Club>>,<bound method EighthActivity.capacity of <EighthActivity: Computer Security>>,8,0.19047619047619
American Sign Language Club,UNICEF,<bound method EighthActivity.capacity of <EighthActivity: American Sign Language Club>>,<bound method EighthActivity.capacity of <EighthActivity: UNICEF>>,8,0.102564102564103
Spanish Tertulia (Pou) Level 2,Lab 203: Burnett,<bound method EighthActivity.capacity of <EighthActivity: Spanish Tertulia (Pou) Level 2>>,<bound method EighthActivity.capacity of <EighthActivity: Lab 203: Burnett>>,8,0.181818181818182
Lab 203: Burnett,Latin Tutoring/Makeup (Lister),<bound method EighthActivity.capacity of <EighthActivity: Lab 203: Burnett>>,<bound method EighthActivity.capacity of <EighthActivity: Latin Tutoring/Makeup (Lister)>>,8,0.166666666666667
Music Matters,Lab 201 Cobb,<bound method EighthActivity.capacity of <EighthActivity: Music Matters>>,<bound method EighthActivity.capacity of <EighthActivity: Lab 201 Cobb>>,8,0.177777777777778
Lab 200 - Computer Systems,Swim/Dive,<bound method EighthActivity.capacity of <EighthActivity: Lab 200 - Computer Systems>>,<bound method EighthActivity.capacity of <EighthActivity: Swim/Dive>>,8,0.4
Lab 200 - Computer Systems,Red Cross Youth Task Force,<bound method EighthActivity.capacity of <EighthActivity: Lab 200 - Computer Systems>>,<bound method EighthActivity.capacity of <EighthActivity: Red Cross Youth Task Force>>,8,0.145454545454545
Math 4 tutoring,Lab 201 Cobb,<bound method EighthActivity.capacity of <EighthActivity: Math 4 tutoring>>,<bound method EighthActivity.capacity of <EighthActivity: Lab 201 Cobb>>,8,0.186046511627907
Science Fiction & Fantasy Writers,UNICEF,<bound method EighthActivity.capacity of <EighthActivity: Science Fiction & Fantasy Writers>>,<bound method EighthActivity.capacity of <EighthActivity: UNICEF>>,8,0.142857142857143
tjSTAR,Lab 201 Cobb,<bound method EighthActivity.capacity of <EighthActivity: tjSTAR>>,<bound method EighthActivity.capacity of <EighthActivity: Lab 201 Cobb>>,8,0.228571428571429
Lab 203: Burnett,MIT Launch,<bound method EighthActivity.capacity of <EighthActivity: Lab 203: Burnett>>,<bound method EighthActivity.capacity of <EighthActivity: MIT Launch>>,8,0.142857142857143
UAV Club (Unmanned Aerial Vehicle),TSA - Technology Student Assn (R),<bound method EighthActivity.capacity of <EighthActivity: UAV Club (Unmanned Aerial Vehicle)>>,<bound method EighthActivity.capacity of <EighthActivity: TSA - Technology Student Assn (R)>>,8,0.126984126984127
Lab 203: Burnett,Math 3/4 (Hill),<bound method EighthActivity.capacity of <EighthActivity: Lab 203: Burnett>>,<bound method EighthActivity.capacity of <EighthActivity: Math 3/4 (Hill)>>,8,0.166666666666667
Lab 203: Burnett,Young Democrats,<bound method EighthActivity.capacity of <EighthActivity: Lab 203: Burnett>>,<bound method EighthActivity.capacity of <EighthActivity: Young Democrats>>,8,0.16
Model UN,Lab 201 Cobb,<bound method EighthActivity.capacity of <EighthActivity: Model UN>>,<bound method EighthActivity.capacity of <EighthActivity: Lab 201 Cobb>>,8,0.106666666666667
Math Help (Schmitt),Lab 201 Cobb,<bound method EighthActivity.capacity of <EighthActivity: Math Help (Schmitt)>>,<bound method EighthActivity.capacity of <EighthActivity: Lab 201 Cobb>>,8,0.177777777777778
Lab 203: Burnett,Library Computer Classroom,<bound method EighthActivity.capacity of <EighthActivity: Lab 203: Burnett>>,<bound method EighthActivity.capacity of <EighthActivity: Library Computer Classroom>>,8,0.19047619047619
Lab 203: Burnett,Lab 207: Robotics (DelaCuesta),<bound method EighthActivity.capacity of <EighthActivity: Lab 203: Burnett>>,<bound method EighthActivity.capacity of <EighthActivity: Lab 207: Robotics (DelaCuesta)>>,8,0.166666666666667
Lab 203: Burnett,Spanish Tertulia Gendive,<bound method EighthActivity.capacity of <EighthActivity: Lab 203: Burnett>>,<bound method EighthActivity.capacity of <EighthActivity: Spanish Tertulia Gendive>>,8,0.166666666666667
Lab 207: Robotics (DelaCuesta),Linguistics Club,<bound method EighthActivity.capacity of <EighthActivity: Lab 207: Robotics (DelaCuesta)>>,<bound method EighthActivity.capacity of <EighthActivity: Linguistics Club>>,8,0.142857142857143
Lab 203: Burnett,Sports Statistics,<bound method EighthActivity.capacity of <EighthActivity: Lab 203: Burnett>>,<bound method EighthActivity.capacity of <EighthActivity: Sports Statistics>>,8,0.166666666666667
Lab 203: Burnett,Quizbowl (It's Academic),<bound method EighthActivity.capacity of <EighthActivity: Lab 203: Burnett>>,<bound method EighthActivity.capacity of <EighthActivity: Quizbowl (It's Academic)>>,8,0.117647058823529
Lab 207: Robotics (DelaCuesta),Latin: Certamen,<bound method EighthActivity.capacity of <EighthActivity: Lab 207: Robotics (DelaCuesta)>>,<bound method EighthActivity.capacity of <EighthActivity: Latin: Certamen>>,8,0.142857142857143
Send-a-Smile,Threshold,<bound method EighthActivity.capacity of <EighthActivity: Send-a-Smile>>,<bound method EighthActivity.capacity of <EighthActivity: Threshold>>,8,0.142857142857143
Assistive Technology Club,Debate: Forensics,<bound method EighthActivity.capacity of <EighthActivity: Assistive Technology Club>>,<bound method EighthActivity.capacity of <EighthActivity: Debate: Forensics>>,8,0.173913043478261
Lab 207: Robotics (DelaCuesta),MIT Launch,<bound method EighthActivity.capacity of <EighthActivity: Lab 207: Robotics (DelaCuesta)>>,<bound method EighthActivity.capacity of <EighthActivity: MIT Launch>>,8,0.125
Spanish Tertulia Mateo,Send-a-Smile,<bound method EighthActivity.capacity of <EighthActivity: Spanish Tertulia Mateo>>,<bound method EighthActivity.capacity of <EighthActivity: Send-a-Smile>>,8,0.153846153846154
Lab 207: Robotics (DelaCuesta),Physics Team,<bound method EighthActivity.capacity of <EighthActivity: Lab 207: Robotics (DelaCuesta)>>,<bound method EighthActivity.capacity of <EighthActivity: Physics Team>>,8,0.0740740740740741
Lab 207: Robotics (DelaCuesta),Swim/Dive,<bound method EighthActivity.capacity of <EighthActivity: Lab 207: Robotics (DelaCuesta)>>,<bound method EighthActivity.capacity of <EighthActivity: Swim/Dive>>,8,0.285714285714286
Lab 207: Robotics (DelaCuesta),WISE (Women in Sci. & Eng),<bound method EighthActivity.capacity of <EighthActivity: Lab 207: Robotics (DelaCuesta)>>,<bound method EighthActivity.capacity of <EighthActivity: WISE (Women in Sci. & Eng)>>,8,0.0754716981132075
Lab 207: Robotics (DelaCuesta),Math Teams (V & JV),<bound method EighthActivity.capacity of <EighthActivity: Lab 207: Robotics (DelaCuesta)>>,<bound method EighthActivity.capacity of <EighthActivity: Math Teams (V & JV)>>,8,0.0555555555555556
Lab 207: Robotics (DelaCuesta),Rubiks Cube Club,<bound method EighthActivity.capacity of <EighthActivity: Lab 207: Robotics (DelaCuesta)>>,<bound method EighthActivity.capacity of <EighthActivity: Rubiks Cube Club>>,8,0.142857142857143
Lab 207: Robotics (DelaCuesta),Writing Conference (Kochman),<bound method EighthActivity.capacity of <EighthActivity: Lab 207: Robotics (DelaCuesta)>>,<bound method EighthActivity.capacity of <EighthActivity: Writing Conference (Kochman)>>,8,0.142857142857143
Assistive Technology Club,Model UN,<bound method EighthActivity.capacity of <EighthActivity: Assistive Technology Club>>,<bound method EighthActivity.capacity of <EighthActivity: Model UN>>,8,0.102564102564103
Lab 207: Robotics (DelaCuesta),TJ Media (R),<bound method EighthActivity.capacity of <EighthActivity: Lab 207: Robotics (DelaCuesta)>>,<bound method EighthActivity.capacity of <EighthActivity: TJ Media (R)>>,8,0.137931034482759
Lab 207: Robotics (DelaCuesta),Model UN,<bound method EighthActivity.capacity of <EighthActivity: Lab 207: Robotics (DelaCuesta)>>,<bound method EighthActivity.capacity of <EighthActivity: Model UN>>,8,0.0909090909090909
Assistive Technology Club,Digital Arts Studio,<bound method EighthActivity.capacity of <EighthActivity: Assistive Technology Club>>,<bound method EighthActivity.capacity of <EighthActivity: Digital Arts Studio>>,8,0.173913043478261
Lab 203: Burnett,TJ Media (R),<bound method EighthActivity.capacity of <EighthActivity: Lab 203: Burnett>>,<bound method EighthActivity.capacity of <EighthActivity: TJ Media (R)>>,8,0.16
Physics tutoring / makeup Smith,Aerospace Initiative (formerly Rocketry Club),<bound method EighthActivity.capacity of <EighthActivity: Physics tutoring / makeup Smith>>,<bound method EighthActivity.capacity of <EighthActivity: Aerospace Initiative (formerly Rocketry Club)>>,8,0.126984126984127
Lab 203: Burnett,PC (re)Builders,<bound method EighthActivity.capacity of <EighthActivity: Lab 203: Burnett>>,<bound method EighthActivity.capacity of <EighthActivity: PC (re)Builders>>,8,0.16
Assistive Technology Club,Biotechnology Club,<bound method EighthActivity.capacity of <EighthActivity: Assistive Technology Club>>,<bound method EighthActivity.capacity of <EighthActivity: Biotechnology Club>>,8,0.181818181818182
Lab 207: Robotics (DelaCuesta),Spanish Tertulia Gendive,<bound method EighthActivity.capacity of <EighthActivity: Lab 207: Robotics (DelaCuesta)>>,<bound method EighthActivity.capacity of <EighthActivity: Spanish Tertulia Gendive>>,8,0.142857142857143
Lab 203: Burnett,Assistive Technology Club,<bound method EighthActivity.capacity of <EighthActivity: Lab 203: Burnett>>,<bound method EighthActivity.capacity of <EighthActivity: Assistive Technology Club>>,8,0.210526315789474
Lab 203: Burnett,UNICEF,<bound method EighthActivity.capacity of <EighthActivity: Lab 203: Burnett>>,<bound method EighthActivity.capacity of <EighthActivity: UNICEF>>,8,0.166666666666667
